MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID,distance_pc,M_V,luminosity,B-V,temperature_K
HD 200207,21 00 53.3791,+37 39 11.189,14,14,0.0137,0.0145,90,A,O,2020yCat.1350....0G,3.4084,8.11,9.09,Star,0,0.29339279427297266,15.772752783171159,3.8627703282947e-05,0.9800000000000004,4791.276225065089
BD+37  4147,21 01 52.6234,+37 41 31.936,14,14,0.0088,0.0097,90,A,O,2020yCat.1350....0G,1.7737,9.92,10.3,Star,0,0.5637932006540001,16.16440083012143,2.6930205530819094e-05,0.3800000000000008,6988.564781536697
BD+36  4301,20 53 35.3742,+36 41 49.294,14,14,0.1011,0.1177,90,A,O,2020yCat.1350....0G,10.6926,9.37,9.98,SB*,0,0.09352262312253333,19.515416602918783,1.2297968005122547e-06,0.6100000000000012,5928.662795375076
BD+36  4307,20 53 59.7913,+36 53 47.407,14,14,0.0092,0.0107,90,A,O,2020yCat.1350....0G,2.4315,9.06,10.29,Star,0,0.41126876413736374,15.989371369520981,3.16410911767255e-05,1.2299999999999986,4250.693596274791
BD+36  4308,20 54 05.6873,+37 01 17.319,14,14,0.0137,0.0156,90,A,O,2020yCat.1350....0G,0.5353,9.81,9.84,Star,0,1.8681113394358304,13.452986216917157,0.0003271941372244449,0.02999999999999936,9765.803484638678
BD+36  4310,20 54 18.2325,+36 57 42.829,14,14,0.0091,0.0097,90,A,O,2020yCat.1350....0G,16.3803,9.01,9.71,HighPM*,0,0.061048942937553044,20.081609257314753,7.300562059082991e-07,0.7000000000000011,5601.697844213069
BD+36  4324,20 55 47.6287,+36 37 39.730,14,14,0.0082,0.0101,90,A,O,2020yCat.1350....0G,1.8942,9.37,10.52,Star,0,0.5279273571956499,15.757129161379304,3.91875701354341e-05,1.1500000000000004,4409.234032365268
BD+36  4326,20 56 21.8856,+36 45 47.365,14,14,0.0092,0.0113,90,A,O,2020yCat.1350....0G,1.1885,9.32,10.89,Star,0,0.8413967185527977,14.694995930320996,0.00010423213363324756,1.5700000000000003,3691.168542872439
BD+36  4330,20 56 42.4844,+37 22 00.215,14,14,0.0091,0.0102,90,A,O,2020yCat.1350....0G,0.7977,9.17,9.35,EmLine*,0,1.253604111821487,13.679197960256147,0.00026565672592445056,0.17999999999999972,8321.091831351987
BD+36  4331,20 56 44.6095,+37 08 39.184,14,14,0.009,0.0098,90,A,O,2020yCat.1350....0G,5.3823,9.35,9.97,Star,0,0.18579417721048622,18.004839504590816,4.943837622509764e-06,0.620000000000001,5890.322012321259
BD+36  4332,20 57 04.4920,+37 01 48.167,14,14,0.0092,0.011,90,A,O,2020yCat.1350....0G,8.9347,9.74,10.39,Star,0,0.11192317593204025,19.495399874005805,1.2526797310714402e-06,0.6500000000000004,5778.423731066207
BD+36  4335,20 57 25.9403,+37 09 36.205,14,14,0.0606,0.0768,90,A,O,2020yCat.1350....0G,3.7538,9.18,10.03,HighPM*,0,0.2663967179924343,17.052355649883975,1.1886602509410498e-05,0.8499999999999996,5134.371181493918
BD+36  4340,20 57 54.7244,+37 24 04.596,14,14,0.0081,0.0102,90,A,O,2020yCat.1350....0G,2.14,9.62,9.91,Star,0,0.4672897196261682,16.272068866745954,2.4387790369913542e-05,0.2900000000000009,7526.014382731689
BD+36  4342,20 58 10.5919,+36 58 34.102,14,14,0.0083,0.0098,90,A,O,2020yCat.1350....0G,1.236,9.1,10.53,Star,0,0.8090614886731392,14.560092353763984,0.00011802202407151495,1.4299999999999997,3901.9253220718683
BD+36  4345,20 58 38.9338,+37 02 41.142,14,14,0.0127,0.0147,90,A,O,2020yCat.1350....0G,1.905,9.25,10.24,Star,0,0.5249343832020997,15.649474900058191,4.327230604180327e-05,0.9900000000000002,4766.876781934012
HD 199873,20 58 41.4743,+36 58 50.277,14,14,0.01,0.0119,90,A,O,2020yCat.1350....0G,2.0625,8.86,9.04,Star,0,0.48484848484848486,15.431969786109814,5.2870337841502265e-05,0.17999999999999972,8321.091831351987
HD 199969,20 59 20.9941,+36 44 50.668,14,14,0.0131,0.0146,90,A,O,2020yCat.1350....0G,1.5166,8.28,9.8,LongPeriodV*_Candidate,0,0.6593696426216538,14.184355258252717,0.00016682375664749008,1.5200000000000014,3763.6701294642335
BD+36  4358A,20 59 37.9756,+37 03 25.100,14,14,0.0105,0.0144,90,A,O,2020yCat.1350....0G,0.9856,9.96,10.14,Star,0,1.0146103896103895,14.928503474101753,8.406178550660671e-05,0.17999999999999972,8321.091831351987
HD 200104,21 00 13.5455,+36 57 47.055,14,14,0.009,0.0114,90,A,O,2020yCat.1350....0G,1.0266,7.81,9.44,SB*,0,0.9740892265731541,12.86700629962372,0.0005613031508906475,1.63,3607.90050634042
