MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID
BD+37  4133,20 59 42.347,+37 52 28.77,7,7,,,0,D,O,1988A&AS...74..449R,,9.7,9.8,**,0
HD 200207,21 00 53.3791,+37 39 11.189,14,14,0.0137,0.0145,90,A,O,2020yCat.1350....0G,3.4084,8.11,9.09,Star,0
BD+37  4147,21 01 52.6234,+37 41 31.936,14,14,0.0088,0.0097,90,A,O,2020yCat.1350....0G,1.7737,9.92,10.3,Star,0
BD+36  4301,20 53 35.3742,+36 41 49.294,14,14,0.1011,0.1177,90,A,O,2020yCat.1350....0G,10.6926,9.37,9.98,SB*,0
BD+36  4307,20 53 59.7913,+36 53 47.407,14,14,0.0092,0.0107,90,A,O,2020yCat.1350....0G,2.4315,9.06,10.29,Star,0
BD+36  4308,20 54 05.6873,+37 01 17.319,14,14,0.0137,0.0156,90,A,O,2020yCat.1350....0G,0.5353,9.81,9.84,Star,0
BD+36  4310,20 54 18.2325,+36 57 42.829,14,14,0.0091,0.0097,90,A,O,2020yCat.1350....0G,16.3803,9.01,9.71,HighPM*,0
BD+36  4324,20 55 47.6287,+36 37 39.730,14,14,0.0082,0.0101,90,A,O,2020yCat.1350....0G,1.8942,9.37,10.52,Star,0
BD+36  4326,20 56 21.8856,+36 45 47.365,14,14,0.0092,0.0113,90,A,O,2020yCat.1350....0G,1.1885,9.32,10.89,Star,0
BD+36  4330,20 56 42.4844,+37 22 00.215,14,14,0.0091,0.0102,90,A,O,2020yCat.1350....0G,0.7977,9.17,9.35,EmLine*,0
BD+36  4331,20 56 44.6095,+37 08 39.184,14,14,0.009,0.0098,90,A,O,2020yCat.1350....0G,5.3823,9.35,9.97,Star,0
BD+36  4332,20 57 04.4920,+37 01 48.167,14,14,0.0092,0.011,90,A,O,2020yCat.1350....0G,8.9347,9.74,10.39,Star,0
BD+36  4335,20 57 25.9403,+37 09 36.205,14,14,0.0606,0.0768,90,A,O,2020yCat.1350....0G,3.7538,9.18,10.03,HighPM*,0
